00501,Holtsville,NY,516
00511,Pleasantville,NY,914
00544,Holtsville,NY,516
00601,Adjuntas,PR,809
00602,Aguada,PR,809
00603,Aguadilla,PR,809
00604,Aguadilla,PR,809
00605,Aguadilla,PR,809
00607,Aguas Buenas,PR,809
00608,Aguirre,PR,809
00609,Aibonito,PR,809
00610,Anasco,PR,809
00611,Angeles,PR,809
00612,Arecibo,PR,809
00613,Arecibo,PR,809
00615,Arroyo,PR,809
00616,Bajadero,PR,809
00617,Barceloneta,PR,809
00618,Barranquitas,PR,809
00619,Bayamon,PR,809
00620,San Juan,PR,809
00621,San Juan,PR,809
00622,Boqueron,PR,809
00623,Cabo Rojo,PR,809
00625,Caguas,PR,809
00626,Caguas,PR,809
00627,Camuy,PR,809
00628,Carolina,PR,809
00629,Canovanas,PR,809
00630,Carolina,PR,809
00631,Adjuntas,PR,809
00632,Catano,PR,809
00633,Cayey,PR,809
00634,Cayey,PR,809
00635,Ceiba,PR,809
00638,Ciales,PR,809
00639,Cidra,PR,809
00640,Coamo,PR,809
00642,Comerio,PR,809
00643,Corozal,PR,809
00644,Coto Laurel,PR,809
00645,Culebra,PR,809
00646,Dorado,PR,809
00647,Ensenada,PR,809
00648,Fajardo,PR,809
00650,Florida,PR,809
00652,Garrochales,PR,809
00653,Guanica,PR,809
00654,Guayama,PR,809
00655,Guayama,PR,809
00656,Guayanilla,PR,809
00657,Guaynabo,PR,809
00658,Gurabo,PR,809
00659,Hatillo,PR,809
00660,Hormigueros,PR,809
00661,Humacao,PR,809
00662,Isabela,PR,809
00664,Jayuya,PR,809
00665,Juana Diaz,PR,809
00666,Juncos,PR,809
00667,Lajas,PR,809
00668,La Plata,PR,809
00669,Lares,PR,809
00670,Las Marias,PR,809
00671,Las Piedras,PR,809
00672,Loiza,PR,809
00673,Luquillo,PR,809
00701,Manati,PR,809
00706,Maricao,PR,809
00707,Maunabo,PR,809
00708,Mayaguez,PR,809
00709,Mayaguez,PR,809
00715,Mercedita,PR,809
00716,Moca,PR,809
00717,Morovis,PR,809
00718,Naguabo,PR,809
00719,Naranjito,PR,809
00720,Orocovis,PR,809
00721,Rio Grande,PR,809
00723,Patillas,PR,809
00724,Penuelas,PR,809
00731,Ponce,PR,809
00732,Ponce,PR,809
00733,Ponce,PR,809
00734,Ponce,PR,809
00740,Puerto Real,PR,809
00741,Punta Santiago,PR,809
00742,Quebradillas,PR,809
00743,Rincon,PR,809
00744,Rio Blanco,PR,809
00745,Rio Grande,PR,809
00746,Rosario,PR,809
00747,Sabana Grande,PR,809
00748,Sabana Hoyos,PR,809
00749,Sabana Seca,PR,809
00750,Saint Just,PR,809
00751,Salinas,PR,809
00752,San Antonio,PR,809
00753,San German,PR,809
00754,San Lorenzo,PR,809
00755,San Sebastian,PR,809
00757,Santa Isabel,PR,809
00758,Toa Alta,PR,809
00759,Toa Baja,PR,809
00760,Trujillo Alto,PR,809
00761,Utuado,PR,809
00762,Maricao,PR,809
00763,Vega Baja,PR,809
00764,Vega Baja,PR,809
00765,Vieques,PR,809
00766,Villalba,PR,809
00767,Yabucoa,PR,809
00768,Yauco,PR,809
00801,Charlotte Amalie,VI,809
00802,Charlotte Amalie,VI,809
00820,Christiansted,VI,809
00830,Cruz Bay,VI,809
00840,Frederiksted,VI,809
00850,Kingshill,VI,809
00900,San Juan,PR,809
00901,San Juan,PR,809
00902,San Juan,PR,809
00903,San Juan,PR,809
00904,San Juan,PR,809
00905,San Juan,PR,809
00906,San Juan,PR,809
00907,San Juan,PR,809
00908,San Juan,PR,809
00909,San Juan,PR,809
00910,San Juan,PR,809
00911,San Juan,PR,809
00912,San Juan,PR,809
00913,San Juan,PR,809
00914,San Juan,PR,809
00915,San Juan,PR,809
00916,San Juan,PR,809
00917,San Juan,PR,809
00918,San Juan,PR,809
00919,San Juan,PR,809
00920,San Juan,PR,809
00921,San Juan,PR,809
00922,San Juan,PR,809
00923,Rio Piedras,PR,809
00924,San Juan,PR,809
00925,San Juan,PR,809
00926,San Juan,PR,809
00927,San Juan,PR,809
00928,San Juan,PR,809
00929,San Juan,PR,809
00930,San Juan,PR,809
00931,San Juan,PR,809
00932,San Juan,PR,809
00934,San Juan,PR,809
00935,San Juan,PR,809
00936,San Juan,PR,809
00938,San Juan,PR,809
00940,San Juan,PR,809
00949,Levittown,PR,809
00950,San Juan,PR,809
00975,San Juan,PR,809
01001,Agawam,MA,413
01002,Amherst,MA,413
01003,Amherst,MA,413
01004,Amherst,MA,413
01005,Barre,MA,508
01006,Barre Plains,MA,413
01007,Belchertown,MA,413
01008,Blandford,MA,413
01009,Bondsville,MA,413
01010,East Brimfield,MA,413
