6,225,1,0,1,7.8
6,225,1,1,2,8.3
6,225,1,2,3,8.55
6,225,1,3,4,8.8
6,225,1,4,5,9.05
6,225,1,5,6,9.3
6,225,1,6,7,9.55
6,225,1,7,8,9.8
6,225,1,8,9,10.05
6,225,1,9,10,10.3
6,225,1,10,11,10.8
6,225,1,11,12,11.05
6,225,1,12,13,11.3
6,225,1,13,14,11.8
6,225,1,14,15,12.05
6,225,1,15,16,12.3
6,225,1,16,17,12.8
6,225,1,17,18,13.05
6,225,1,18,19,13.55
6,225,1,19,20,14.05
6,225,1,20,100000,0
6,225,2,0,0.5,0
6,225,2,0,1,15.55
6,225,2,1,2,16.55
6,225,2,2,3,17.8
6,225,2,3,4,19.55
6,225,2,4,5,21.3
6,225,2,5,6,23.05
6,225,2,6,7,24.8
6,225,2,7,8,26.8
6,225,2,8,9,28.55
6,225,2,9,10,30.55
6,225,2,10,11,32.3
6,225,2,11,12,34.3
6,225,2,12,13,36.05
6,225,2,13,14,37.8
6,225,2,14,15,39.05
6,225,2,15,16,40.55
6,225,2,16,17,42.3
6,225,2,17,18,44.05
6,225,2,18,19,45.55
6,225,2,19,20,47.05
6,225,2,20,100000,0
6,225,3,0,1,33.55
6,225,3,1,2,36.8
6,225,3,2,3,40.05
6,225,3,3,4,43.3
6,225,3,4,5,46.3
6,225,3,5,6,50.3
6,225,3,6,7,53.3
6,225,3,7,8,56.3
6,225,3,8,9,59.55
6,225,3,9,10,62.3
6,225,3,10,11,65.55
6,225,3,11,12,68.8
6,225,3,12,13,71.55
6,225,3,13,14,74.55
6,225,3,14,15,77.05
6,225,3,15,16,79.55
6,225,3,16,17,81.55
6,225,3,17,18,83.55
6,225,3,18,19,85.3
6,225,3,19,20,87.3
6,225,3,20,100000,0
6,225,22,0,1,29.55
6,225,22,1,2,32.55
6,225,22,2,3,35.3
6,225,22,3,4,38.05
6,225,22,4,5,40.55
6,225,22,5,6,43.55
6,225,22,6,7,46.3
6,225,22,7,8,49.05
6,225,22,8,9,51.8
6,225,22,9,10,54.55
6,225,22,10,11,57.05
6,225,22,11,12,59.8
6,225,22,12,13,62.3
6,225,22,13,14,64.8
6,225,22,14,15,67.05
6,225,22,15,16,69.3
6,225,22,16,17,71.05
6,225,22,17,18,72.8
6,225,22,18,19,74.3
6,225,22,19,20,78.8
6,225,23,0,1,48.55
6,225,23,1,2,51.8
6,225,23,2,3,55.05
6,225,23,3,4,58.3
6,225,23,4,5,61.3
6,225,23,5,6,65.3
6,225,23,6,7,68.3
6,225,23,7,8,71.3
6,225,23,8,9,74.55
6,225,23,9,10,77.3
6,225,23,10,11,80.55
6,225,23,11,12,83.8
6,225,23,12,13,86.55
6,225,23,13,14,89.55
6,225,23,14,15,92.05
6,225,23,15,16,94.55
6,225,23,16,17,96.55
6,225,23,17,18,98.55
6,225,23,18,19,100.3
6,225,23,19,20,102.3
6,241,2,0,1,28.3
6,241,2,1,2,32.05
6,241,2,2,3,34.55
6,241,2,3,4,36.55
6,241,2,4,5,39.05
6,241,2,5,6,41.3
6,241,2,6,7,43.55
6,241,2,7,8,45.55
6,241,2,8,9,48.3
6,241,2,9,10,50.8
6,241,2,10,11,53.3
6,241,2,11,12,55.55
6,241,2,12,13,57.3
6,241,2,13,14,59.3
6,241,2,14,15,61.55
6,241,2,15,16,63.8
6,241,2,16,17,66.05
6,241,2,17,18,68.8
6,241,2,18,19,71.05
6,241,2,19,20,73.3
6,241,3,0,1,42.55
6,241,3,1,2,46.05
6,241,3,2,3,53.3
6,241,3,3,4,57.8
6,241,3,4,5,62.05
6,241,3,5,6,67.05
6,241,3,6,7,71.3
6,241,3,7,8,75.05
6,241,3,8,9,79.55
6,241,3,9,10,83.8
6,241,3,10,11,87.55
6,241,3,11,12,90.55
6,241,3,12,13,93.8
6,241,3,13,14,97.05
6,241,3,14,15,100.3
6,241,3,15,16,103.3
6,241,3,16,17,105.55
6,241,3,17,18,108.55
6,241,3,18,19,111.55
6,241,3,19,20,115.8
