46,PP1B,1.  Which of the following Timer features did you utilize in PRACTICING for your exam? (check all that apply),y,n,y,active
47,PP1B,2.  Which of the following Timer features did you utilize ON TEST DAY? (check all that apply),y,n,y,active
48,PP1B,"3.  Rank the following features in their helpfulness to you (1= most helpful, 7= least helpful)",n,y,y,active
49,PP1B,4.  When is/was your test?,n,n,y,active
50,PP1B,"5. While taking your test, did the proctor:",n,n,y,active
51,PP1B,"6.  Rank the following items (on a scale of 1 to 5), according to their importance in your initial search for a testing timer:",n,y,y,active
52,PP1B,7.  Do you believe the price of the Silent Timer is:,n,n,y,active
53,PP1B,"8.  Would you say the value of The Silent Timer, as compared to its price, is:",n,n,y,active
54,PP1B,"9.  Please rank the following in the liklihood that you would purchase the described timer: (1= top choice, 4= last choice)",n,y,y,active
55,PP2B,1.  Where did you hear about The Silent Timer?,n,n,y,active
56,PP2B,2.  When is/was your test?,n,n,y,active
57,PP2B,"3.  Have you already taken your test?  (if NO, skip to Question #8)",n,n,y,active
58,PP2B,4.  Did The Silent Timer help you feel more confident on test day?,n,n,y,active
59,PP2B,"5.  While taking the test, did the proctor:",n,n,y,active
60,PP2B,6.  How effective was The Silent Timer in improving your timing?,n,n,y,active
61,PP2B,7.  How long did you practice with The Silent Timer before the day of the test?,n,n,y,active
62,PP2B,8.  How satisfied are you with your Silent Timer purchase?,n,n,y,active
63,PP2B,9.  Would you recommend The Silent Timer to someone else taking the same exam?,n,n,y,active
